,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,BaroPress,airRH,airT,date,CRNS,Bare
2227,2227,2023-08-16 10:30:00,12016.0,0.0091226295646103,109.61751684835777,2699.422498124555,0.0410662779760949,2596.8485795377223,0.052032470703125,7.314700694660534e-06,798.7,0.071,0.071,0.0424264068711928,0.0299999999999999,19.6,798.7,77.4,10.1,2023-08-16,0.052032470703125,964.9382684341645
2228,2228,2023-08-16 11:00:00,12054.0,0.0091082387580476,109.79070998950684,2708.5265931530284,0.0396884341518618,2605.693049930316,0.050872802734375,7.30832388160839e-06,798.6,0.071,0.071,0.0424264068711928,0.0299999999999999,19.4,798.6,75.4,10.5,2023-08-16,0.050872802734375,964.9382684341645
2229,2229,2023-08-16 11:30:00,11988.0,0.0091332770725198,109.48972554536796,2696.6286233820924,0.0414927639033411,2595.2007769774755,0.052215576171875,7.237565080128128e-06,798.8,0.071,0.071,0.0424264068711928,0.0299999999999999,19.3,798.8,74.2,10.6,2023-08-16,0.052215576171875,964.9382684341645
2230,2230,2023-08-16 12:00:00,11782.0,0.0092127755539192,108.54492157627642,2648.079704517621,0.0491900511717001,2548.131320860068,0.058624267578125,7.263738640572338e-06,798.8,0.071,0.071,0.0424264068711928,0.0299999999999999,19.1,798.8,74.0,10.7,2023-08-16,0.058624267578125,964.9382684341645
2231,2231,2023-08-16 12:30:00,12254.0,0.0090336042752633,110.69778678907724,2772.317211491092,0.0305183679246346,2666.3196847933405,0.043487548828125,7.361897270850343e-06,799.1,0.07,0.07,0.0410121933088197,0.029,19.0,799.1,75.0,10.7,2023-08-16,0.043487548828125,964.9382684341645
2232,2232,2023-08-16 13:00:00,11860.0,0.0091824306172424,108.90362712049586,2691.070111141219,0.0423464377246631,2584.349183398613,0.053680419921875,7.64723857522972e-06,799.3,0.07,0.07,0.0410121933088197,0.029,18.9,799.3,78.4,10.6,2023-08-16,0.053680419921875,964.9382684341645
2233,2233,2023-08-16 13:30:00,11934.0,0.0091539172730181,109.24284873619877,2706.4729711042733,0.0399976568122419,2600.4741277132425,0.051544189453125,7.548398668378552e-06,799.3,0.07,0.07,0.0410121933088197,0.029,18.8,799.3,76.9,10.7,2023-08-16,0.051544189453125,964.9382684341645
2234,2234,2023-08-16 14:00:00,11760.0,0.0092213889195414,108.44353369380768,2670.271930149724,0.0456029133121295,2557.6021248433744,0.057281494140625,8.157945505973847e-06,799.3,0.071,0.071,0.0424264068711928,0.0299999999999999,18.8,799.3,71.1,13.2,2023-08-16,0.057281494140625,964.9382684341645
2235,2235,2023-08-16 14:30:00,12042.0,0.0091127758635634,109.73604694903128,2732.841062670057,0.036095577891551,2618.932379877884,0.049224853515625,8.054503689802328e-06,799.3,0.071,0.071,0.0424264068711928,0.0299999999999999,18.8,799.3,57.4,16.5,2023-08-16,0.049224853515625,964.9382684341645
2236,2236,2023-08-16 15:00:00,11874.0,0.0091770157636212,108.96788517723928,2686.246870976073,0.0430928132282836,2570.5144163280106,0.055511474609375,8.3376058542216e-06,799.2,0.07,0.07,0.0410121933088197,0.029,18.8,799.2,51.8,18.8,2023-08-16,0.055511474609375,964.9382684341645
2237,2237,2023-08-16 15:30:00,11980.0,0.0091363260717944,109.45318634009702,2700.5499586673545,0.0408946592251866,2584.65095910273,0.053619384765625,8.303936599858513e-06,799.0,0.07,0.07,0.0410121933088197,0.029,19.0,799.0,43.8,21.6,2023-08-16,0.053619384765625,964.9382684341645
2238,2238,2023-08-16 16:00:00,12074.0,0.0091006919519146,109.88175462741756,2727.075067077559,0.0369363738640305,2601.142201847654,0.051483154296875,8.965638615195867e-06,798.8,0.071,0.071,0.0424264068711928,0.0299999999999999,19.3,798.8,44.9,22.5,2023-08-16,0.051483154296875,964.9382684341645
2239,2239,2023-08-16 16:30:00,12234.0,0.0090409852751672,110.60741385639572,2752.27921094813,0.0333109542777897,2631.777920867696,0.047637939453125,8.479079310476772e-06,798.6,0.071,0.071,0.0424264068711928,0.0299999999999999,19.9,798.6,39.2,23.9,2023-08-16,0.047637939453125,964.9382684341645
2240,2240,2023-08-16 17:00:00,11806.0,0.0092034066272035,108.65541864076545,2674.903171494985,0.0448691308722134,2547.75302178545,0.058685302734375,9.241996307704552e-06,798.5,0.071,0.071,0.0424264068711928,0.0299999999999999,21.0,798.5,39.7,25.2,2023-08-16,0.058685302734375,964.9382684341645
2241,2241,2023-08-16 17:30:00,12048.0,0.0091105064634875,109.76338187209797,2720.20332820466,0.0379474462477128,2594.3063825080576,0.052337646484375,8.986698471803214e-06,798.2,0.071,0.071,0.0424264068711928,0.0299999999999999,22.4,798.2,36.5,26.2,2023-08-16,0.052337646484375,964.9382684341645
