Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT
10789,2024-02-10 19:30:00,15614.000000000002,0.0080028174877208,124.95599225327292,1395.0824102149393,1.3480760361459243,1380.160890635345,3.999969482421875,2.0021175685680263e-06,681.4,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.8,1.5,681.4,73.6,-8.1
10790,2024-02-10 20:00:00,15616.000000000002,0.0080023049958059,124.96399481450648,1394.4351937734527,1.353752990616811,1378.5329361033507,3.999969482421875,2.136229359760183e-06,681.1,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.8,1.5,681.1,79.7,-8.3
10791,2024-02-10 20:30:00,15796.0,0.0079565800675436,125.6821387469198,1409.2150370630716,1.2337003372308837,1393.3755310617123,2.715972900390625,2.1051337465848324e-06,681.0,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.7,1.5,681.0,84.6,-9.3
10792,2024-02-10 21:00:00,15752.0,0.0079676848602017,125.50697191789786,1397.7402597165549,1.3251920442645813,1383.4738858796577,3.999969482421875,1.909628441759177e-06,680.8,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.8,1.5,680.8,70.2,-8.1
10793,2024-02-10 21:30:00,15810.0,0.0079530564498418,125.73782247199924,1396.4958724634762,1.335821287464068,1381.9870458062803,3.999969482421875,1.9441714446498154e-06,680.8,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.8,1.6,680.8,72.0,-8.2
10794,2024-02-10 22:00:00,15616.000000000002,0.0080023049958059,124.96399481450648,1382.79451185489,1.463475174960139,1367.081751913497,3.999969482421875,2.128453807129239e-06,681.0,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.8,1.5,681.0,80.0,-8.4
10795,2024-02-10 22:30:00,15783.999999999998,0.0079596040418344,125.63439019631528,1398.9394393226437,1.3150873582641185,1383.86696426875,3.999969482421875,2.0169562220377397e-06,681.2,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.8,1.5,681.2,73.6,-8.0
10796,2024-02-10 23:00:00,16149.999999999998,0.0078688947536463,127.08265027138832,1445.1718845133487,1.006890620164384,1430.24039922949,1.165740966796875,1.93330426749997e-06,681.4,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.7,1.5,681.4,74.3,-8.7
10797,2024-02-10 23:30:00,15526.0,0.0080254650741287,124.60337074092338,1390.7416462931862,1.386964897721102,1376.012528669895,3.999969482421875,1.982259839828834e-06,681.5,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.8,1.5,681.5,77.9,-9.0
10798,2024-02-11 00:00:00,15373.999999999998,0.0080650406674652,123.99193522161028,1382.3506628353457,1.4679665812141784,1367.167389040782,3.999969482421875,2.0566006707754744e-06,681.7,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.8,1.5,681.7,85.8,-9.8
10799,2024-02-11 00:30:00,15584.0,0.0080105167014,124.83589227461788,1395.4747661458646,1.344654719106378,1380.077301302308,3.999969482421875,2.0661033811263844e-06,681.9,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.8,1.5,681.9,87.5,-10.0
10800,2024-02-11 01:00:00,15466.0,0.0080410173109378,124.36237373096414,1388.5465059454982,1.4073852360682244,1372.718083314824,3.999969482421875,2.135317813379821e-06,682.2,0.192,0.133,0.142,0.096,0.15442548891537416,0.10072876593982663,0.04885281179968539,0.2,0.5,0.8,1.4,682.2,93.9,-10.5
10801,2024-02-11 01:30:00,15194.0,0.0081126723999231,123.26394444443191,1366.5630610662035,1.6451906303362271,1351.619182266366,3.999969482421875,2.0474590766702124e-06,682.5,0.192,0.133,0.142,0.096,0.15442548891537416,0.10072876593982663,0.04885281179968539,0.2,0.5,0.8,1.5,682.5,92.8,-10.9
10802,2024-02-11 02:00:00,15370.000000000002,0.0080660900514612,123.97580409095964,1392.3605986148557,1.3722341818482855,1377.1194118033775,3.999969482421875,2.049525972790895e-06,682.7,0.192,0.133,0.142,0.096,0.15442548891537416,0.10072876593982663,0.04885281179968539,0.2,0.5,0.8,1.5,682.7,93.6,-11.0
10803,2024-02-11 02:30:00,15229.999999999998,0.0081030785391857,123.40988615179904,1383.00415005639,1.461362206121148,1367.6548552275474,3.999969482421875,2.0783474679130825e-06,683.0,0.192,0.133,0.142,0.096,0.15442548891537416,0.10072876593982663,0.04885281179968539,0.2,0.5,0.8,1.5,683.0,94.2,-10.9
