,Date,Crys 1,Crys 2,Crys 3,Crys 6,Fry 4,Fry 5,Fry 6,RF 1,RF 2,RF 3,RF5,RF 6,RF 7,RF 8,RF 9
282,1/8/2024,5.4535,5.4535,4.4516997,2.5375,0.3204,0.68299997,0.9838,1.0454999,1.3317,1.7681999,0.9772,0.7772,0.88339996,1.0871,0.9194
283,1/9/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,1/10/2024,5.2402997,5.2402997,6.7703,2.5001,3.8767,2.4062,1.3630999,6.0818996,6.4992,4.6881,1.2836,1.1782,1.1738,1.6741999,1.6769999
285,1/11/2024,6.4000998,6.4000998,8.4088,4.7401,4.6977997,3.6488998,3.1492999,5.6103,6.6555,6.8738,3.2329,2.6836998,2.8429,3.6193,3.6327999
286,1/12/2024,2.3013,2.3013,3.0349,1.0074999,4.3563,2.2284,0.8242,4.2626,3.8486998,2.4150999,0.6799,0.3566,0.4773,0.9747,0.9134
287,1/13/2024,6.0951,6.0951,7.8644,2.6023998,4.8441997,2.6097,1.0155,5.0618,5.3160996,3.2517998,0.84929997,0.70809996,0.7736,0.958,1.0411
288,1/14/2024,6.6408,6.6408,7.8152,7.1078,7.6513996,7.3111997,8.576,7.9048996,8.9283,7.6573,8.6999,7.9584,8.0419,9.7087,9.786799
289,1/15/2024,12.046499,12.046499,15.5048,8.6388,16.3584,9.3663,5.4730997,17.5128,18.2817,13.740999,5.5248,4.1863,4.6229,6.5487,6.2372
290,1/16/2024,0.6659,0.6659,0.918,0.9043,3.9550998,2.0414999,1.2169,3.3985999,3.7796998,3.1634998,1.2983999,1.1119,1.1388,1.1386,1.0133
291,1/17/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,1/18/2024,15.7437,15.7437,16.645199,10.993,12.7027,9.9267,9.5047,13.186999,14.0682,11.947,9.6778,8.4428,8.7457,10.5802,10.6865
293,1/19/2024,0.145,0.145,0.6196,0.43359998,5.4922,2.0881999,0.7226,4.4755,4.0631,1.9659,0.6049,0.5797,0.567,0.0109,0.0347
294,1/20/2024,1.6359999,1.6359999,1.0838,0,2.2919,0.97279996,0,1.1876,0.96629995,0.471,0.010199999,0,0.023599999,0,0
295,1/21/2024,0.5027,0.5027,0.72859997,0.0094,0,0,0,0,0,0,0,0,0,0.0056,0
296,1/22/2024,1.7421999,1.7421999,1.0777,0.48139998,0,0.16129999,0.4597,0,0,0,0.49429998,0.40629998,0.43219998,1.2821,1.2125
297,1/23/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,1/24/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,1/25/2024,1.4045,1.4045,0.5765,0,0.0012,0,0,0.3734,0.3978,0,0,0,0,0,0
300,1/26/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1/27/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,1/28/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,1/29/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,1/30/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1/31/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,2/1/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,2/2/2024,1.5634999,1.5634999,1.7916,0.3346,1.5514,0.3752,0,0.7582,0.70489997,0.3656,0,0,0,0,0
308,2/3/2024,13.9797,13.9797,12.5973,13.119499,11.1816,12.4317,14.5428,13.0259,13.1862,13.345799,14.737599,15.5550995,14.627399,13.207999,13.9653
309,2/4/2024,12.5604,12.5604,10.7161,5.6384,9.3604,6.9907,5.4849,8.3998995,7.8026996,7.4976997,5.5448,5.9631,5.7805,5.1053,5.2830997
310,2/5/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,2/6/2024,2.9501998,2.9501998,3.2933998,0.5227,0.1277,0.0023,0,0.9149,0.7977,0.2008,0,0,0.0024,0,0
312,2/7/2024,1.7365999,1.7365999,2.1383,0.895,1.7502999,0.9422,1.1093,1.5408,1.5956999,1.607,0.98069996,0.445,0.5155,0.56259996,0.6283
313,2/8/2024,4.2644,4.2644,5.9996,5.1057997,2.5888999,2.6436,2.7094,3.3051,3.1546998,2.9141,3.2652,4.1735,4.2148,5.512,5.3982
314,2/9/2024,2.1201,2.1201,3.1415,3.1575,2.1631,1.635,1.1205,2.3386,2.3161,2.0816,1.5878999,3.0335,2.8174,2.8871999,3.1094
315,2/10/2024,3.5595,3.5595,3.4673,1.7552999,4.2311,1.6018,0.47309998,3.745,3.3511999,1.928,0.6035,0.746,0.86579996,1.4462999,1.2774
316,2/11/2024,0,0,0,0,1.6445999,0.4454,0,1.1384,1.0029,0.6673,0,0,0,0,0
317,2/12/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,2/13/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,2/14/2024,1.402,1.402,1.1089,0.099599995,0,0,0,0,0,0,0,0,0,0,0
320,2/15/2024,3.7210999,3.7210999,4.6425,1.3655,1.1142,0.6767,0,2.6778998,2.7338,2.5014,0.0071,0,0.0569,0,0
321,2/16/2024,5.8999996,5.8999996,7.1928,5.4937,6.8862,4.9702,4.8083997,7.0765,7.2595,7.0808997,4.9472,4.8922,4.8606997,4.4051,4.3076997
322,2/17/2024,3.78,3.78,4.8184,4.2303,8.0302,5.1169,2.6983,8.422,8.1272,7.0504,3.0676,4.1445,3.998,3.4176998,3.8646
