,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,BaroPress,airRH,airT,date,CRNS
19152,19152,2024-08-03 01:00:00,19424.0,0.0071751447241286,139.37001112147476,2655.7808137881784,0.0923114006846061,2589.128347369696,0.094024658203125,4.767260514255896e-06,728.5,0.01,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,26.4,24.2,19.5,728.5,23.2,23.0,2024-08-03,0.094024658203125
19153,19153,2024-08-03 01:30:00,19284.0,0.007201143056146,138.8668426947196,2633.8370202298483,0.0975422137289214,2572.400410907974,0.097381591796875,4.4227756402843015e-06,728.6,0.01,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,25.1,23.9,19.5,728.6,23.6,21.4,2024-08-03,0.097381591796875
19154,19154,2024-08-03 02:00:00,19324.0,0.0071936861388967,139.01079094804115,2617.6988660408315,0.101511723168528,2558.777652416506,0.100250244140625,4.264276673689057e-06,728.7,0.01,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,23.9,23.3,19.5,728.7,24.4,20.2,2024-08-03,0.100250244140625
19155,19155,2024-08-03 02:30:00,19530.0,0.0071556465123515,139.7497763862254,2652.990581126785,0.0929661616344919,2586.05503786454,0.094635009765625,4.793196893723338e-06,728.7,0.008,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,22.6,22.3,19.2,728.7,31.6,17.8,2024-08-03,0.094635009765625
19156,19156,2024-08-03 03:00:00,19292.0,0.0071996498175491,138.8956442801573,2636.2338284266184,0.0969616750604071,2571.925660422912,0.097503662109375,4.630351562621841e-06,729.0,0.008,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,21.7,21.7,19.2,729.0,33.6,16.2,2024-08-03,0.097503662109375
19157,19157,2024-08-03 03:30:00,19516.0,0.0071582126399263,139.69967788080257,2663.374482373769,0.090544372565238,2598.6422466992885,0.092132568359375,4.612967046947614e-06,729.2,0.008,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,20.4,21.1,18.9,729.2,36.0,15.0,2024-08-03,0.092132568359375
19158,19158,2024-08-03 04:00:00,19086.0,0.0072383993557384,138.15209010362457,2601.6170034702523,0.1055755073157644,2543.297368136325,0.103546142578125,4.246429302586734e-06,729.3,0.008,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,19.5,20.4,18.9,729.3,34.8,14.2,2024-08-03,0.103546142578125
19159,19159,2024-08-03 04:30:00,19160.0,0.0072244077131516,138.4196517839862,2612.7366981781784,0.1027539135783955,2553.1582088175624,0.101409912109375,4.321335648999602e-06,729.3,0.008,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,18.5,19.8,18.5,729.3,37.2,13.4,2024-08-03,0.101409912109375
19160,19160,2024-08-03 05:00:00,19162.0,0.0072240306858981,138.42687600318084,2607.4298478865617,0.1040939053276002,2548.401435050068,0.102447509765625,4.289429213140774e-06,729.4,0.008,0.03,0.058,0.0234953006879188,0.0645071211997774,0.0330077542097582,17.6,19.2,18.2,729.4,38.8,12.6,2024-08-03,0.102447509765625
19161,19161,2024-08-03 05:30:00,19068.0,0.0072418150378896,138.08692914247894,2592.8223253301444,0.1078451184630841,2535.9001442195336,0.105133056640625,4.156766453971472e-06,729.4,0.008,0.03,0.058,0.0234953006879188,0.0645071211997774,0.0330077542097582,17.0,18.5,18.2,729.4,37.6,12.6,2024-08-03,0.105133056640625
