,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS
1652,1652,2023-08-04 11:00:00,10484.0,0.0097664446670509,102.39140588936164,1902.0051226938083,0.2080802252462062,1837.7074866470227,0.193267822265625,6.4792518530892405e-06,768.8,0.271,0.097,0.122,0.099,0.1780917541722904,0.0096827073770549,0.0050147539553472,12.6,14.2,14.9,13.4,768.8,96.0,4.9,2023-08-04,0.193267822265625
1653,1653,2023-08-04 11:30:00,10540.0,0.0097404650988315,102.6645021416848,1911.487272511925,0.2021186650419819,1847.5235510549048,0.187530517578125,6.411357298470484e-06,768.8,0.271,0.097,0.122,0.099,0.1780917541722904,0.0096827073770549,0.0050147539553472,12.4,14.0,14.9,13.4,768.8,96.9,4.6,2023-08-04,0.187530517578125
1654,1654,2023-08-04 12:00:00,10120.0,0.0099405346560943,100.59821071967431,1828.8117575867243,0.2608065268936267,1768.6019305861637,0.239959716796875,6.304396580281601e-06,768.9,0.27,0.097,0.122,0.1,0.1776907378584369,0.0092139215989376,0.0047719659371329,12.2,13.9,14.8,13.4,768.9,97.2,4.3,2023-08-04,0.239959716796875
1655,1655,2023-08-04 12:30:00,10458.0,0.0097785774808142,102.26436329435587,1902.4427622884773,0.2078011911899214,1839.3424047292813,0.192291259765625,6.352950581580826e-06,769.0,0.27,0.097,0.122,0.099,0.1776537457901,0.0091706780825508,0.0047495697635836,12.0,13.7,14.8,13.4,769.0,97.3,4.4,2023-08-04,0.192291259765625
1656,1656,2023-08-04 13:00:00,10364.0,0.0098228225338667,101.8037327409953,1893.538988363957,0.2135542031637206,1828.3043045192223,0.198944091796875,6.607487046014967e-06,769.4,0.27,0.097,0.123,0.1,0.1778829103198165,0.0094385701075603,0.0048883132512992,11.8,13.6,14.7,13.4,769.4,97.9,4.9,2023-08-04,0.198944091796875
1657,1657,2023-08-04 13:30:00,10568.0,0.009727552820512,102.80077820717118,1934.1025430999323,0.1885788552438776,1862.8895184075643,0.178985595703125,7.079108575653157e-06,769.3,0.269,0.097,0.123,0.099,0.1774079098692892,0.0088832972966694,0.0046007328859863,11.6,13.4,14.6,13.5,769.3,99.5,5.7,2023-08-04,0.178985595703125
1658,1658,2023-08-04 14:00:00,10328.0,0.0098399272005518,101.6267681273,1903.6563805472656,0.207029392272622,1829.074696507413,0.198455810546875,7.55104370352714e-06,769.3,0.269,0.097,0.122,0.099,0.1772157374079096,0.0086586487880467,0.00448438557182,11.5,13.3,14.6,13.4,769.3,86.8,8.8,2023-08-04,0.198455810546875
1659,1659,2023-08-04 14:30:00,10510.0,0.0097543569030365,102.51829105091444,1936.00952824168,0.1874786593817256,1861.3066479756883,0.179840087890625,7.432341538654956e-06,769.3,0.269,0.097,0.122,0.099,0.1772157374079096,0.0086586487880467,0.00448438557182,11.5,13.2,14.5,13.4,769.3,66.4,12.8,2023-08-04,0.179840087890625
1660,1660,2023-08-04 15:00:00,10116.0,0.0099424997711982,100.57832768544128,1867.7707436882736,0.2311563787261809,1790.4966998959012,0.223785400390625,7.992200214907166e-06,769.1,0.268,0.097,0.122,0.1,0.1768147210940562,0.0081898630099294,0.0042415975536057,11.4,13.1,14.5,13.4,769.1,65.9,14.1,2023-08-04,0.223785400390625
1661,1661,2023-08-04 15:30:00,10410.0,0.009801095823773,102.02940752547768,1930.2021573327909,0.1908486507926513,1851.395365187054,0.185333251953125,7.882622303034798e-06,769.0,0.268,0.096,0.122,0.1,0.1764818940059631,0.0078007900468598,0.0040400934592967,11.5,13.0,14.4,13.4,769.0,57.2,16.2,2023-08-04,0.185333251953125
