,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS
3815,3815,2023-09-18 12:30:00,10254.0,0.0098753692531319,101.26203632161464,2123.828339899535,0.2083072787054382,2060.8177410663075,0.186065673828125,5.6621355596071146e-06,786.2,0.137,0.108,0.117,0.055,0.1217849041952385,0.0050485363372135,0.002703903570516,6.1,8.1,10.3,11.8,786.2,92.7,3.4,2023-09-18,0.186065673828125
3816,3816,2023-09-18 13:00:00,10074.0,0.0099632040918202,100.36931802099684,2087.675444678323,0.2272624013137314,2024.6418883852136,0.201812744140625,5.765405162258149e-06,786.2,0.137,0.108,0.117,0.055,0.1217849041952385,0.0050485363372135,0.002703903570516,6.0,7.9,10.2,11.7,786.2,91.9,3.8,2023-09-18,0.201812744140625
3817,3817,2023-09-18 13:30:00,10230.0,0.0098869464778027,101.14346246792226,2120.572655430545,0.2099488515410197,2055.994294042161,0.188079833984375,5.816628892073386e-06,786.2,0.136,0.108,0.117,0.054,0.1212947256378095,0.0056289841466783,0.0030147807831729,6.1,7.8,10.1,11.7,786.2,92.1,3.9,2023-09-18,0.188079833984375
3818,3818,2023-09-18 14:00:00,10272.0,0.0098667129745482,101.35087567455942,2119.698864976521,0.2103915528823383,2052.9021680867386,0.189361572265625,6.025498377655976e-06,786.2,0.134,0.108,0.117,0.054,0.1203631048794794,0.0067321683236055,0.0036056260174526,6.1,7.7,10.0,11.7,786.2,92.9,4.3,2023-09-18,0.189361572265625
3819,3819,2023-09-18 14:30:00,10402.0,0.0098048640268433,101.99019560722492,2141.6865754358414,0.1995189417660436,2075.759421016015,0.179962158203125,5.8815738357541005e-06,786.0,0.134,0.108,0.117,0.054,0.1203631048794794,0.0067321683236055,0.0036056260174526,6.5,7.7,10.0,11.7,786.0,72.1,7.8,2023-09-18,0.179962158203125
3820,3820,2023-09-18 15:00:00,10308.0,0.0098494684877742,101.52832117197644,2140.5433672424942,0.2000708311082564,2067.002822174078,0.183502197265625,6.5885829042022805e-06,785.9,0.135,0.108,0.117,0.054,0.1208289152586445,0.0061805762351419,0.0033102034003127,9.2,7.8,9.9,11.7,785.9,66.7,10.8,2023-09-18,0.183502197265625
3822,3822,2023-09-18 16:00:00,10298.0,0.0098542495513477,101.47906187977893,2164.26206902118,0.1889069784931671,2089.8125378565787,0.174346923828125,6.597218633690217e-06,785.4,0.137,0.109,0.116,0.054,0.1219219315378923,0.004886274606922,0.0026169991604875,13.3,9.5,9.8,11.7,785.4,51.8,14.9,2023-09-18,0.174346923828125
3823,3823,2023-09-18 16:30:00,10338.0,0.0098351669432946,101.67595585978034,2164.9464109548608,0.188593578561309,2093.203051227782,0.173065185546875,6.347118283184916e-06,785.1,0.137,0.11,0.116,0.054,0.1222575400196367,0.0044888618578044,0.0024041521728592,12.6,10.2,9.8,11.7,785.1,46.9,15.9,2023-09-18,0.173065185546875
3824,3824,2023-09-18 17:00:00,10128.0,0.0099366079189645,100.637965003273,2113.3132801122374,0.2136543602599585,2032.5870561932984,0.198211669921875,7.354814486385162e-06,784.9,0.137,0.11,0.116,0.054,0.1222575400196367,0.0044888618578044,0.0024041521728592,12.8,10.6,9.8,11.6,784.9,48.2,17.9,2023-09-18,0.198211669921875
3825,3825,2023-09-18 17:30:00,10208.0,0.0098975947808111,101.03464752252071,2101.3331005790315,0.2199097367960077,2042.4901720234232,0.193878173828125,5.335075179634193e-06,784.5,0.137,0.111,0.117,0.054,0.1227673614622078,0.0038851538108619,0.0020808172031483,15.3,10.9,9.9,11.6,784.5,28.8,21.2,2023-09-18,0.193878173828125
