,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,BaroPress,airRH,airT,date,CRNS
2437,2437,2023-08-20 19:30:00,12820.0,0.0088319375068444,113.22543883774529,2820.540697360343,0.0207880151442942,2747.714981222653,0.032135009765625,4.908166902813542e-06,795.7,0.058,0.058,0.0240416305603426,0.017,27.9,795.7,16.0,30.2,2023-08-20,0.032135009765625
2438,2438,2023-08-20 20:00:00,12420.0,0.0089730317009694,111.44505372604026,2715.905678830423,0.0348986909886351,2657.982871054557,0.041656494140625,4.035558694237863e-06,795.5,0.058,0.058,0.0240416305603426,0.017,28.8,795.5,12.2,31.6,2023-08-20,0.041656494140625
2439,2439,2023-08-20 20:30:00,13064.0,0.0087490704606427,114.2978564978364,2860.7442324143844,0.0158716642831548,2791.6031477408515,0.027984619140625,4.586577637131034e-06,795.3,0.059,0.059,0.0254558441227157,0.0179999999999999,29.8,795.3,13.5,32.1,2023-08-20,0.027984619140625
2440,2440,2023-08-20 21:00:00,12684.0,0.0088791600285721,112.6232658024087,2770.449931347639,0.027291328400856,2704.8025797784862,0.036529541015625,4.494567199890107e-06,794.9,0.059,0.059,0.0254558441227157,0.0179999999999999,30.7,794.9,13.3,32.0,2023-08-20,0.036529541015625
2441,2441,2023-08-20 21:30:00,12846.0,0.0088229951635265,113.34019587066189,2820.377768131449,0.0208084705636804,2738.3090159127173,0.033111572265625,5.550110301366874e-06,794.6,0.059,0.059,0.0254558441227157,0.0179999999999999,31.3,794.6,16.6,31.8,2023-08-20,0.033111572265625
2442,2442,2023-08-20 22:00:00,12982.0,0.0087766584459646,113.93857994551274,2828.53130883358,0.0197901860792368,2761.064371087851,0.030853271484375,4.5250221223193e-06,794.3,0.059,0.059,0.0254558441227157,0.0179999999999999,31.6,794.3,12.9,32.7,2023-08-20,0.030853271484375
2443,2443,2023-08-20 22:30:00,12944.0,0.0087895319241828,113.77170122662314,2804.4740621894457,0.0228265670699113,2750.913243493896,0.031829833984375,3.605591762031701e-06,794.2,0.059,0.059,0.0254558441227157,0.0179999999999999,31.7,794.2,10.5,32.3,2023-08-20,0.031829833984375
2444,2444,2023-08-20 23:00:00,12712.0,0.0088693758272217,112.74750551564324,2752.1932331648995,0.029773688795092,2689.456857056099,0.038177490234375,4.319774603215863e-06,794.1,0.059,0.059,0.0254558441227157,0.0179999999999999,31.6,794.1,13.2,31.4,2023-08-20,0.038177490234375
2445,2445,2023-08-20 23:30:00,12582.0,0.0089150782526656,112.1695145750395,2733.529737433242,0.0323770304324195,2663.9551926594563,0.040985107421875,4.836483358883432e-06,794.2,0.058,0.058,0.0240416305603426,0.017,31.1,794.2,15.1,31.0,2023-08-20,0.040985107421875
2446,2446,2023-08-21 00:00:00,12838.0,0.0088257437602173,113.30489839367053,2800.9806373645124,0.0232756191022059,2737.052026862777,0.033233642578125,4.325322083104434e-06,794.0,0.058,0.058,0.0240416305603426,0.017,30.2,794.0,14.1,30.2,2023-08-21,0.033233642578125
